Barbara Hepworth,Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,
Evelyn Dunbar,Ethel Gabain,,,,,,,,,,,,,,,,,,,,,,,
Toni Hughes,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Elizabeth Olds,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Mary Cassatt,Wanda Gag,Eloise Howard,Kathe Kollwitz,Marie Laurencin,,,,,,,,,,,,,,,,,,,
Frances Avery,Ruth Bernhard,Mildred Leo Clemens,Marjory Collins,Imogen Cunningham,Elizabeth Harding,Alma R. Lavenson,Betty Clark Little,Elizabeth Timberman,Harriet M. Veissi,,,,,,,,,,,,,,,
Leslie Beaton,Frances Felton,Mary Rodney,,,,,,,,,,,,,,,,,,,,,,
Sarah Berman,Elizabeth Olds,Sylvia Wald,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Helen Levitt,,,,,,,,,,,,,,,,,,,,,,,
Riva Helfond,Juliet Kepes,Elizabeth Olds,Hulda Robbins,Sylvia Wald,,,,,,,,,,,,,,,,,,,,
Maria Martins,,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Julia Margaret Cameron,Dorothea Lange,,,,,,,,,,,,,,,,,,,,,,
Emma Lu Davis,Helen Lundeberg,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Loren MacIver,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Wanda Gag,,,,,,,,,,,,,,,,,,,,,,,
Mary Cassatt,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Lowengrund,Elizabeth Olds,,,,,,,,,,,,,,,,,,,,,,,
Natalia Goncharova,Sophie Lissitsky,,,,,,,,,,,,,,,,,,,,,,,
Dorothea Lange,Helen Margaret Post,Marion Post Wolcott,,,,,,,,,,,,,,,,,,,,,,
Kathe Kollwitz,,,,,,,,,,,,,,,,,,,,,,,,
Dahlov Zorach Ipcar,Loren MacIver,Irene Rice Pereira,Marguerite Zorach,,,,,,,,,,,,,,,,,,,,,
Doris Rosenthal,Thelma Johnson Streat,,,,,,,,,,,,,,,,,,,,,,,
Mary Cassatt,,,,,,,,,,,,,,,,,,,,,,,,
Mary Rodney,,,,,,,,,,,,,,,,,,,,,,,,
