source,target,Type,Weight
Noemi Raymond,Marguerite Wildenhain,Undirected,1
Lucie Rie,Marguerite Wildenhain,Undirected,1
Hazel Knapp,Cleo Crawford,Undirected,1
Dorothy B. Leake,Cleo Crawford,Undirected,1
Flora Lewis,Cleo Crawford,Undirected,1
Anna Maria Robertson Moses,Cleo Crawford,Undirected,1
Ella Southworth,Cleo Crawford,Undirected,1
Cleo Crawford,Hazel Knapp,Undirected,1
Dorothy B. Leake,Hazel Knapp,Undirected,1
Flora Lewis,Hazel Knapp,Undirected,1
Anna Maria Robertson Moses,Hazel Knapp,Undirected,1
Ella Southworth,Hazel Knapp,Undirected,1
Cleo Crawford,Dorothy B. Leake,Undirected,1
Hazel Knapp,Dorothy B. Leake,Undirected,1
Flora Lewis,Dorothy B. Leake,Undirected,1
Anna Maria Robertson Moses,Dorothy B. Leake,Undirected,1
Ella Southworth,Dorothy B. Leake,Undirected,1
Cleo Crawford,Flora Lewis,Undirected,1
Hazel Knapp,Flora Lewis,Undirected,1
Dorothy B. Leake,Flora Lewis,Undirected,1
Anna Maria Robertson Moses,Flora Lewis,Undirected,1
Ella Southworth,Flora Lewis,Undirected,1
Cleo Crawford,Anna Maria Robertson Moses,Undirected,1
Hazel Knapp,Anna Maria Robertson Moses,Undirected,1
Dorothy B. Leake,Anna Maria Robertson Moses,Undirected,1
Flora Lewis,Anna Maria Robertson Moses,Undirected,1
Ella Southworth,Anna Maria Robertson Moses,Undirected,1
Cleo Crawford,Ella Southworth,Undirected,1
Hazel Knapp,Ella Southworth,Undirected,1
Dorothy B. Leake,Ella Southworth,Undirected,1
Flora Lewis,Ella Southworth,Undirected,1
Anna Maria Robertson Moses,Ella Southworth,Undirected,1
Marguerite Zorach,Dahlov Zorach Ipcar,Undirected,1
Loren MacIver,Dahlov Zorach Ipcar,Undirected,1
Elizabeth Olds,Dahlov Zorach Ipcar,Undirected,1
Doris Rosenthal,Dahlov Zorach Ipcar,Undirected,1
Sarah Berman,Dahlov Zorach Ipcar,Undirected,1
Bernarda Bryson Shahn,Dahlov Zorach Ipcar,Undirected,1
Sylvia Wald,Dahlov Zorach Ipcar,Undirected,1
Irene Rice Pereira,Dahlov Zorach Ipcar,Undirected,1
Loren MacIver,Gertrude Abercrombie,Undirected,1
Lily Cushing,Gertrude Abercrombie,Undirected,1
Marie Laurencin,Lily Cushing,Undirected,1
Concetta Scaravaglione,Lily Cushing,Undirected,1
Berenice Abbott,Lily Cushing,Undirected,1
Gertrude Vanderbilt Whitney,Lily Cushing,Undirected,1
Kathe Kollwitz,Lily Cushing,Undirected,1
Florine Stettheimer,Lily Cushing,Undirected,1
Marguerite Zorach,Lily Cushing,Undirected,1
Eugenie Gershoy,Lily Cushing,Undirected,1
Loren MacIver,Lily Cushing,Undirected,2
Minna R. Harkavy,Lily Cushing,Undirected,1
Gertrude Abercrombie,Lily Cushing,Undirected,1
Frida Kahlo,Lily Cushing,Undirected,1
Alice Boughton,Lily Cushing,Undirected,1
Leonora Carrington,Lily Cushing,Undirected,1
Lotte Jacobi,Lily Cushing,Undirected,1
Chana Orloff,Lily Cushing,Undirected,1
Elsa Schmid,Lily Cushing,Undirected,1
Elizabeth Olds,Sarah Berman,Undirected,3
Doris Rosenthal,Sarah Berman,Undirected,1
Dahlov Zorach Ipcar,Sarah Berman,Undirected,1
Bernarda Bryson Shahn,Sarah Berman,Undirected,1
Sylvia Wald,Sarah Berman,Undirected,3
Ruth Gikow,Sarah Berman,Undirected,1
Riva Helfond,Sarah Berman,Undirected,1
Hulda Robbins,Sarah Berman,Undirected,1
Elizabeth Olds,Bernarda Bryson Shahn,Undirected,1
Doris Rosenthal,Bernarda Bryson Shahn,Undirected,1
Dahlov Zorach Ipcar,Bernarda Bryson Shahn,Undirected,1
Sarah Berman,Bernarda Bryson Shahn,Undirected,1
Sylvia Wald,Bernarda Bryson Shahn,Undirected,1
Katherine S. Dreier,Sylvia Wald,Undirected,1
Barbara Hepworth,Sylvia Wald,Undirected,1
Elizabeth Olds,Sylvia Wald,Undirected,4
Wanda Gag,Sylvia Wald,Undirected,1
Doris Rosenthal,Sylvia Wald,Undirected,1
Juliet Kepes,Sylvia Wald,Undirected,1
Dahlov Zorach Ipcar,Sylvia Wald,Undirected,1
Sarah Berman,Sylvia Wald,Undirected,3
Bernarda Bryson Shahn,Sylvia Wald,Undirected,1
Ruth Gikow,Sylvia Wald,Undirected,1
Riva Helfond,Sylvia Wald,Undirected,2
Hulda Robbins,Sylvia Wald,Undirected,2
Sue Fuller,Sylvia Wald,Undirected,1
Louise Bourgeois,Sylvia Wald,Undirected,1
Minna Citron,Sylvia Wald,Undirected,2
Carol Summers,Sylvia Wald,Undirected,3
Leona Pierce,Sylvia Wald,Undirected,2
Gertrude Quastler,Sylvia Wald,Undirected,1
Barbara E. Fumagalli,Sylvia Wald,Undirected,2
Norma G. Morgan,Sylvia Wald,Undirected,1
Dorothea Tanning,Sylvia Wald,Undirected,2
June Wayne,Sylvia Wald,Undirected,2
Helen Frankenthaler,Sylvia Wald,Undirected,1
Louise Nevelson,Sylvia Wald,Undirected,1
Lee Bontecou,Sylvia Wald,Undirected,1
Marie Laurencin,Frida Kahlo,Undirected,2
Peggy Bacon,Frida Kahlo,Undirected,1
Concetta Scaravaglione,Frida Kahlo,Undirected,2
Georgia O'Keeffe,Frida Kahlo,Undirected,3
Anna Glenny,Frida Kahlo,Undirected,1
Renee Sintenis,Frida Kahlo,Undirected,1
Berenice Abbott,Frida Kahlo,Undirected,1
Gertrude Vanderbilt Whitney,Frida Kahlo,Undirected,1
Kathe Kollwitz,Frida Kahlo,Undirected,1
Katherine S. Dreier,Frida Kahlo,Undirected,1
Florine Stettheimer,Frida Kahlo,Undirected,2
Marguerite Zorach,Frida Kahlo,Undirected,1
Eugenie Gershoy,Frida Kahlo,Undirected,1
Loren MacIver,Frida Kahlo,Undirected,3
Barbara Hepworth,Frida Kahlo,Undirected,1
Minna R. Harkavy,Frida Kahlo,Undirected,2
Lily Cushing,Frida Kahlo,Undirected,1
Irene Rice Pereira,Frida Kahlo,Undirected,2
Maria Martins,Frida Kahlo,Undirected,3
Alice Boughton,Frida Kahlo,Undirected,1
Leonora Carrington,Frida Kahlo,Undirected,1
Lotte Jacobi,Frida Kahlo,Undirected,1
Chana Orloff,Frida Kahlo,Undirected,1
Elsa Schmid,Frida Kahlo,Undirected,4
Olga Anhalzer-Fisch,Frida Kahlo,Undirected,1
Edith Behring,Frida Kahlo,Undirected,1
Norah Borges De Torre,Frida Kahlo,Undirected,1
Clara Carrie,Frida Kahlo,Undirected,1
Teresa Carvallo,Frida Kahlo,Undirected,1
Julia Codesido,Frida Kahlo,Undirected,1
Olga Costa,Frida Kahlo,Undirected,1
Nelida Demichelis,Frida Kahlo,Undirected,1
Raquel Forner,Frida Kahlo,Undirected,1
Maria Catalina Otero Lamas,Frida Kahlo,Undirected,1
Amelia Pelaez del Casal,Frida Kahlo,Undirected,4
Georgette Pinet,Frida Kahlo,Undirected,1
Aida Vaisman,Frida Kahlo,Undirected,1
Anne Ryan,Frida Kahlo,Undirected,1
Mary Callery,Frida Kahlo,Undirected,1
Honore Sharrer,Frida Kahlo,Undirected,2
Fannie Hillsmith,Frida Kahlo,Undirected,1
Jeanne Reynal,Frida Kahlo,Undirected,1
Grace Hartigan,Frida Kahlo,Undirected,1
Maria Helena Vieira da Silva,Frida Kahlo,Undirected,1
Clara McDonald Williamson,Frida Kahlo,Undirected,1
Gwen John,Frida Kahlo,Undirected,1
Gego (Gertrud Goldschmidt),Frida Kahlo,Undirected,1
Noemi Gerstein,Frida Kahlo,Undirected,1
Elizabeth Olds,Ruth Gikow,Undirected,1
Sarah Berman,Ruth Gikow,Undirected,1
Sylvia Wald,Ruth Gikow,Undirected,1
Riva Helfond,Ruth Gikow,Undirected,1
Hulda Robbins,Ruth Gikow,Undirected,1
Elizabeth Olds,Riva Helfond,Undirected,3
Juliet Kepes,Riva Helfond,Undirected,1
Sarah Berman,Riva Helfond,Undirected,1
Sylvia Wald,Riva Helfond,Undirected,2
Ruth Gikow,Riva Helfond,Undirected,1
Hulda Robbins,Riva Helfond,Undirected,2
Carol Blanchard,Riva Helfond,Undirected,1
Elizabeth Olds,Hulda Robbins,Undirected,2
Juliet Kepes,Hulda Robbins,Undirected,1
Sarah Berman,Hulda Robbins,Undirected,1
Sylvia Wald,Hulda Robbins,Undirected,2
Ruth Gikow,Hulda Robbins,Undirected,1
Riva Helfond,Hulda Robbins,Undirected,2
Berenice Abbott,Ruth Bernhard,Undirected,3
Frances Avery,Ruth Bernhard,Undirected,1
Margaret Bourke-White,Ruth Bernhard,Undirected,1
Julia Margaret Cameron,Ruth Bernhard,Undirected,3
Imogen Cunningham,Ruth Bernhard,Undirected,3
Gertrude Kaseebier,Ruth Bernhard,Undirected,1
Dorothea Lange,Ruth Bernhard,Undirected,3
Helen Levitt,Ruth Bernhard,Undirected,3
Lisette Model,Ruth Bernhard,Undirected,3
Dorothy Norman,Ruth Bernhard,Undirected,1
Mildred Leo Clemens,Ruth Bernhard,Undirected,1
Marjory Collins,Ruth Bernhard,Undirected,1
Elizabeth Harding,Ruth Bernhard,Undirected,1
Alma R. Lavenson,Ruth Bernhard,Undirected,1
Betty Clark Little,Ruth Bernhard,Undirected,1
Elizabeth Timberman,Ruth Bernhard,Undirected,1
Harriet M. Veissi,Ruth Bernhard,Undirected,1
Lotte Jacobi,Ruth Bernhard,Undirected,1
Barbara Morgan,Ruth Bernhard,Undirected,1
Consuelo Kanaga,Ruth Bernhard,Undirected,1
Marion Palfi,Ruth Bernhard,Undirected,1
Tina Modotti,Ruth Bernhard,Undirected,2
Mary Ann Dorr,Ruth Bernhard,Undirected,2
Nell Dorr,Ruth Bernhard,Undirected,1
Claudia Andujar,Ruth Bernhard,Undirected,1
Ann Parker,Ruth Bernhard,Undirected,1
Margrethe Mather,Ruth Bernhard,Undirected,1
Rosalind Fox Solomon,Ruth Bernhard,Undirected,1
Berenice Abbott,Helen Levitt,Undirected,17
Loren MacIver,Helen Levitt,Undirected,1
Margaret Bourke-White,Helen Levitt,Undirected,12
Julia Margaret Cameron,Helen Levitt,Undirected,11
Imogen Cunningham,Helen Levitt,Undirected,10
Louise Dahl-Wolfe,Helen Levitt,Undirected,2
Gertrude Kaseebier,Helen Levitt,Undirected,9
Rogi Andre (Rozsa Klein),Helen Levitt,Undirected,1
Ylla,Helen Levitt,Undirected,2
Dorothea Lange,Helen Levitt,Undirected,16
Ruth Bernhard,Helen Levitt,Undirected,3
Lisette Model,Helen Levitt,Undirected,20
Dorothy Norman,Helen Levitt,Undirected,2
Alma R. Lavenson,Helen Levitt,Undirected,1
Marion Post Wolcott,Helen Levitt,Undirected,2
Lotte Jacobi,Helen Levitt,Undirected,7
Barbara Morgan,Helen Levitt,Undirected,9
Honore Sharrer,Helen Levitt,Undirected,1
Maya Deren,Helen Levitt,Undirected,1
Consuelo Kanaga,Helen Levitt,Undirected,9
Marion Palfi,Helen Levitt,Undirected,6
Tina Modotti,Helen Levitt,Undirected,9
Toni Frissell,Helen Levitt,Undirected,1
Lisa Larsen,Helen Levitt,Undirected,3
Ruth Orkin,Helen Levitt,Undirected,2
Florence Homolka,Helen Levitt,Undirected,1
Musya Sheeler,Helen Levitt,Undirected,1
Diane Arbus,Helen Levitt,Undirected,9
Frances Benjamin Johnston,Helen Levitt,Undirected,3
Nina Leen,Helen Levitt,Undirected,1
Mary Ann Dorr,Helen Levitt,Undirected,3
Naomi Savage,Helen Levitt,Undirected,2
Emmy Andriesse,Helen Levitt,Undirected,2
Eva Besnyo,Helen Levitt,Undirected,1
Caroline Hebbe-Hammarskiold,Helen Levitt,Undirected,1
Sabine Weiss,Helen Levitt,Undirected,2
Lola Alvarez Bravo,Helen Levitt,Undirected,1
Nell Dorr,Helen Levitt,Undirected,5
Doris Ulmann,Helen Levitt,Undirected,1
Carmel E. Vitullo,Helen Levitt,Undirected,2
Alice Austen,Helen Levitt,Undirected,1
Hajime Daito,Helen Levitt,Undirected,1
Hajime Ohigashi,Helen Levitt,Undirected,1
Ann Zane Shanks,Helen Levitt,Undirected,1
Naomi Siegler,Helen Levitt,Undirected,1
Elizabeth Statler,Helen Levitt,Undirected,1
Claudia Andujar,Helen Levitt,Undirected,2
Ann Parker,Helen Levitt,Undirected,2
Joan Mitchell,Helen Levitt,Undirected,1
Anna Sander,Helen Levitt,Undirected,1
Sylvia Plachy,Helen Levitt,Undirected,1
Marie Cosindas,Helen Levitt,Undirected,1
Hazel Kingsbury,Helen Levitt,Undirected,1
Betty Hahn,Helen Levitt,Undirected,1
Elaine Mayes,Helen Levitt,Undirected,1
Eve Sonneman,Helen Levitt,Undirected,1
Judy Dater,Helen Levitt,Undirected,2
Rosalind Fox Solomon,Helen Levitt,Undirected,3
Joan Lyons,Helen Levitt,Undirected,1
Linda Connor,Helen Levitt,Undirected,1
Jan Groover,Helen Levitt,Undirected,5
Colleen Frances Kenyon,Helen Levitt,Undirected,3
Sheila Metzner,Helen Levitt,Undirected,1
Carol Block Taback,Helen Levitt,Undirected,2
Tina Barney,Helen Levitt,Undirected,2
Cindy Sherman,Helen Levitt,Undirected,2
Judith Joy Ross,Helen Levitt,Undirected,2
Wendy MacNeil,Helen Levitt,Undirected,2
Berenice Abbott,Lisette Model,Undirected,17
Margaret Bourke-White,Lisette Model,Undirected,9
Julia Margaret Cameron,Lisette Model,Undirected,11
Imogen Cunningham,Lisette Model,Undirected,10
Louise Dahl-Wolfe,Lisette Model,Undirected,1
Gertrude Kaseebier,Lisette Model,Undirected,9
Rogi Andre (Rozsa Klein),Lisette Model,Undirected,1
Ylla,Lisette Model,Undirected,2
Dorothea Lange,Lisette Model,Undirected,15
Ruth Bernhard,Lisette Model,Undirected,3
Helen Levitt,Lisette Model,Undirected,20
Dorothy Norman,Lisette Model,Undirected,2
Alma R. Lavenson,Lisette Model,Undirected,1
Marion Post Wolcott,Lisette Model,Undirected,2
Lotte Jacobi,Lisette Model,Undirected,6
Barbara Morgan,Lisette Model,Undirected,9
Maya Deren,Lisette Model,Undirected,1
Consuelo Kanaga,Lisette Model,Undirected,7
Marion Palfi,Lisette Model,Undirected,5
Tina Modotti,Lisette Model,Undirected,9
Toni Frissell,Lisette Model,Undirected,1
Lisa Larsen,Lisette Model,Undirected,3
Ruth Orkin,Lisette Model,Undirected,2
Musya Sheeler,Lisette Model,Undirected,1
Diane Arbus,Lisette Model,Undirected,5
Frances Benjamin Johnston,Lisette Model,Undirected,3
Nina Leen,Lisette Model,Undirected,1
Mary Ann Dorr,Lisette Model,Undirected,3
Naomi Savage,Lisette Model,Undirected,1
Emmy Andriesse,Lisette Model,Undirected,2
Eva Besnyo,Lisette Model,Undirected,1
Caroline Hebbe-Hammarskiold,Lisette Model,Undirected,1
Sabine Weiss,Lisette Model,Undirected,2
Lola Alvarez Bravo,Lisette Model,Undirected,1
Nell Dorr,Lisette Model,Undirected,5
Doris Ulmann,Lisette Model,Undirected,1
Carmel E. Vitullo,Lisette Model,Undirected,2
Alice Austen,Lisette Model,Undirected,1
Hajime Daito,Lisette Model,Undirected,1
Hajime Ohigashi,Lisette Model,Undirected,1
Ann Zane Shanks,Lisette Model,Undirected,1
Naomi Siegler,Lisette Model,Undirected,1
Elizabeth Statler,Lisette Model,Undirected,1
Claudia Andujar,Lisette Model,Undirected,2
Ann Parker,Lisette Model,Undirected,2
Joan Mitchell,Lisette Model,Undirected,1
Anna Sander,Lisette Model,Undirected,1
Elaine Mayes,Lisette Model,Undirected,1
Judy Dater,Lisette Model,Undirected,1
Rosalind Fox Solomon,Lisette Model,Undirected,2
Jan Groover,Lisette Model,Undirected,2
Colleen Frances Kenyon,Lisette Model,Undirected,2
Carol Block Taback,Lisette Model,Undirected,2
Berenice Abbott,Dorothy Norman,Undirected,2
Julia Margaret Cameron,Dorothy Norman,Undirected,1
Louise Dahl-Wolfe,Dorothy Norman,Undirected,1
Rogi Andre (Rozsa Klein),Dorothy Norman,Undirected,1
Dorothea Lange,Dorothy Norman,Undirected,2
Ruth Bernhard,Dorothy Norman,Undirected,1
Helen Levitt,Dorothy Norman,Undirected,2
Lisette Model,Dorothy Norman,Undirected,2
Lotte Jacobi,Dorothy Norman,Undirected,1
Barbara Morgan,Dorothy Norman,Undirected,1
Irene Rice Pereira,Joan Brockway,Undirected,1
Marie Laurencin,Irene Rice Pereira,Undirected,1
Peggy Bacon,Irene Rice Pereira,Undirected,2
Concetta Scaravaglione,Irene Rice Pereira,Undirected,1
Georgia O'Keeffe,Irene Rice Pereira,Undirected,8
Renee Sintenis,Irene Rice Pereira,Undirected,1
Mary Cassatt,Irene Rice Pereira,Undirected,2
Kathe Kollwitz,Irene Rice Pereira,Undirected,2
Katherine S. Dreier,Irene Rice Pereira,Undirected,2
Florine Stettheimer,Irene Rice Pereira,Undirected,1
Marguerite Zorach,Irene Rice Pereira,Undirected,1
Loren MacIver,Irene Rice Pereira,Undirected,5
Louise Dahl-Wolfe,Irene Rice Pereira,Undirected,1
Minna R. Harkavy,Irene Rice Pereira,Undirected,2
Anni Albers,Irene Rice Pereira,Undirected,1
Marianne Brandt,Irene Rice Pereira,Undirected,1
Dahlov Zorach Ipcar,Irene Rice Pereira,Undirected,1
Frida Kahlo,Irene Rice Pereira,Undirected,2
Joan Brockway,Irene Rice Pereira,Undirected,1
Maria Martins,Irene Rice Pereira,Undirected,2
Emma Lu Davis,Irene Rice Pereira,Undirected,1
Elsa Schmid,Irene Rice Pereira,Undirected,3
Amelia Pelaez del Casal,Irene Rice Pereira,Undirected,5
Suzanne Valadon,Irene Rice Pereira,Undirected,1
Eva Zeisel,Irene Rice Pereira,Undirected,1
Sue Fuller,Irene Rice Pereira,Undirected,1
Anne Ryan,Irene Rice Pereira,Undirected,2
Mary Callery,Irene Rice Pereira,Undirected,1
Dorothy Hood,Irene Rice Pereira,Undirected,1
Honore Sharrer,Irene Rice Pereira,Undirected,4
Marianne Strengell,Irene Rice Pereira,Undirected,1
Fannie Hillsmith,Irene Rice Pereira,Undirected,2
Yvonne Delattre,Irene Rice Pereira,Undirected,1
Hedda Sterne,Irene Rice Pereira,Undirected,1
Worden Day,Irene Rice Pereira,Undirected,1
Gertrude Greene,Irene Rice Pereira,Undirected,1
Jeanne Reynal,Irene Rice Pereira,Undirected,2
Grace Hartigan,Irene Rice Pereira,Undirected,1
Maria Helena Vieira da Silva,Irene Rice Pereira,Undirected,1
Clara McDonald Williamson,Irene Rice Pereira,Undirected,1
Patricia Johanson,Irene Rice Pereira,Undirected,1
Emily Fuller,Irene Rice Pereira,Undirected,1
Elena Borstein,Irene Rice Pereira,Undirected,1
Linda Chapman,Irene Rice Pereira,Undirected,1
Helen Torr,Irene Rice Pereira,Undirected,1
Ethel Gabain,Evelyn Dunbar,Undirected,1
Evelyn Dunbar,Ethel Gabain,Undirected,1
Eugenie Gershoy,Toni Hughes,Undirected,1
Elsa Schmid,Toni Hughes,Undirected,1
Amelia Pelaez del Casal,Toni Hughes,Undirected,1
Carol Blanchard,Toni Hughes,Undirected,4
Ruth Vollmer,Toni Hughes,Undirected,3
Marie Laurencin,Eloise Howard,Undirected,1
Peggy Bacon,Eloise Howard,Undirected,1
Mary Cassatt,Eloise Howard,Undirected,1
Kathe Kollwitz,Eloise Howard,Undirected,1
Wanda Gag,Eloise Howard,Undirected,1
Frances Avery,Mildred Leo Clemens,Undirected,1
Imogen Cunningham,Mildred Leo Clemens,Undirected,1
Ruth Bernhard,Mildred Leo Clemens,Undirected,1
Marjory Collins,Mildred Leo Clemens,Undirected,1
Elizabeth Harding,Mildred Leo Clemens,Undirected,1
Alma R. Lavenson,Mildred Leo Clemens,Undirected,1
Betty Clark Little,Mildred Leo Clemens,Undirected,1
Elizabeth Timberman,Mildred Leo Clemens,Undirected,1
Harriet M. Veissi,Mildred Leo Clemens,Undirected,1
Frances Avery,Marjory Collins,Undirected,1
Imogen Cunningham,Marjory Collins,Undirected,1
Ruth Bernhard,Marjory Collins,Undirected,1
Mildred Leo Clemens,Marjory Collins,Undirected,1
Elizabeth Harding,Marjory Collins,Undirected,1
Alma R. Lavenson,Marjory Collins,Undirected,1
Betty Clark Little,Marjory Collins,Undirected,1
Elizabeth Timberman,Marjory Collins,Undirected,1
Harriet M. Veissi,Marjory Collins,Undirected,1
Lotte Jacobi,Marjory Collins,Undirected,1
Barbara Morgan,Marjory Collins,Undirected,1
Diane Arbus,Marjory Collins,Undirected,1
Susan Weil,Marjory Collins,Undirected,1
Frances Avery,Elizabeth Harding,Undirected,1
Imogen Cunningham,Elizabeth Harding,Undirected,1
Ruth Bernhard,Elizabeth Harding,Undirected,1
Mildred Leo Clemens,Elizabeth Harding,Undirected,1
Marjory Collins,Elizabeth Harding,Undirected,1
Alma R. Lavenson,Elizabeth Harding,Undirected,1
Betty Clark Little,Elizabeth Harding,Undirected,1
Elizabeth Timberman,Elizabeth Harding,Undirected,1
Harriet M. Veissi,Elizabeth Harding,Undirected,1
Frances Avery,Alma R. Lavenson,Undirected,1
Margaret Bourke-White,Alma R. Lavenson,Undirected,1
Imogen Cunningham,Alma R. Lavenson,Undirected,1
Dorothea Lange,Alma R. Lavenson,Undirected,1
Ruth Bernhard,Alma R. Lavenson,Undirected,1
Helen Levitt,Alma R. Lavenson,Undirected,1
Lisette Model,Alma R. Lavenson,Undirected,1
Mildred Leo Clemens,Alma R. Lavenson,Undirected,1
Marjory Collins,Alma R. Lavenson,Undirected,1
Elizabeth Harding,Alma R. Lavenson,Undirected,1
Betty Clark Little,Alma R. Lavenson,Undirected,1
Elizabeth Timberman,Alma R. Lavenson,Undirected,1
Harriet M. Veissi,Alma R. Lavenson,Undirected,1
Barbara Morgan,Alma R. Lavenson,Undirected,1
Consuelo Kanaga,Alma R. Lavenson,Undirected,1
Marion Palfi,Alma R. Lavenson,Undirected,1
Toni Frissell,Alma R. Lavenson,Undirected,1
Lisa Larsen,Alma R. Lavenson,Undirected,1
Ruth Orkin,Alma R. Lavenson,Undirected,1
Musya Sheeler,Alma R. Lavenson,Undirected,1
Diane Arbus,Alma R. Lavenson,Undirected,1
Nina Leen,Alma R. Lavenson,Undirected,1
Emmy Andriesse,Alma R. Lavenson,Undirected,1
Eva Besnyo,Alma R. Lavenson,Undirected,1
Sabine Weiss,Alma R. Lavenson,Undirected,1
Lola Alvarez Bravo,Alma R. Lavenson,Undirected,1
Nell Dorr,Alma R. Lavenson,Undirected,1
Doris Ulmann,Alma R. Lavenson,Undirected,1
Carmel E. Vitullo,Alma R. Lavenson,Undirected,1
Frances Avery,Betty Clark Little,Undirected,1
Imogen Cunningham,Betty Clark Little,Undirected,1
Ruth Bernhard,Betty Clark Little,Undirected,1
Mildred Leo Clemens,Betty Clark Little,Undirected,1
Marjory Collins,Betty Clark Little,Undirected,1
Elizabeth Harding,Betty Clark Little,Undirected,1
Alma R. Lavenson,Betty Clark Little,Undirected,1
Elizabeth Timberman,Betty Clark Little,Undirected,1
Harriet M. Veissi,Betty Clark Little,Undirected,1
Frances Avery,Elizabeth Timberman,Undirected,1
Imogen Cunningham,Elizabeth Timberman,Undirected,1
Ruth Bernhard,Elizabeth Timberman,Undirected,1
Mildred Leo Clemens,Elizabeth Timberman,Undirected,1
Marjory Collins,Elizabeth Timberman,Undirected,1
Elizabeth Harding,Elizabeth Timberman,Undirected,1
Alma R. Lavenson,Elizabeth Timberman,Undirected,1
Betty Clark Little,Elizabeth Timberman,Undirected,1
Harriet M. Veissi,Elizabeth Timberman,Undirected,1
Frances Avery,Harriet M. Veissi,Undirected,1
Imogen Cunningham,Harriet M. Veissi,Undirected,1
Ruth Bernhard,Harriet M. Veissi,Undirected,1
Mildred Leo Clemens,Harriet M. Veissi,Undirected,1
Marjory Collins,Harriet M. Veissi,Undirected,1
Elizabeth Harding,Harriet M. Veissi,Undirected,1
Alma R. Lavenson,Harriet M. Veissi,Undirected,1
Betty Clark Little,Harriet M. Veissi,Undirected,1
Elizabeth Timberman,Harriet M. Veissi,Undirected,1
Frances Felton,Leslie Beaton,Undirected,1
Mary Rodney,Leslie Beaton,Undirected,1
Marguerite Wildenhain,Frances Felton,Undirected,1
Leslie Beaton,Frances Felton,Undirected,1
Mary Rodney,Frances Felton,Undirected,2
Eva Zeisel,Frances Felton,Undirected,1
Marianne Strengell,Frances Felton,Undirected,1
Dorothy F. Markle,Frances Felton,Undirected,1
Gertrud Natzler,Frances Felton,Undirected,1
Marguerite Wildenhain,Mary Rodney,Undirected,1
Leslie Beaton,Mary Rodney,Undirected,1
Frances Felton,Mary Rodney,Undirected,2
Eva Zeisel,Mary Rodney,Undirected,1
Marianne Strengell,Mary Rodney,Undirected,1
Dorothy F. Markle,Mary Rodney,Undirected,1
Gertrud Natzler,Mary Rodney,Undirected,1
Concetta Scaravaglione,Maria Martins,Undirected,1
Georgia O'Keeffe,Maria Martins,Undirected,3
Renee Sintenis,Maria Martins,Undirected,2
Mary Cassatt,Maria Martins,Undirected,1
Charlotte Perriand,Maria Martins,Undirected,1
Kathe Kollwitz,Maria Martins,Undirected,1
Florine Stettheimer,Maria Martins,Undirected,1
Lyubov Popova,Maria Martins,Undirected,1
Loren MacIver,Maria Martins,Undirected,1
Barbara Hepworth,Maria Martins,Undirected,1
Minna R. Harkavy,Maria Martins,Undirected,3
Frida Kahlo,Maria Martins,Undirected,3
Irene Rice Pereira,Maria Martins,Undirected,2
Olga Anhalzer-Fisch,Maria Martins,Undirected,1
Edith Behring,Maria Martins,Undirected,1
Norah Borges De Torre,Maria Martins,Undirected,1
Clara Carrie,Maria Martins,Undirected,1
Teresa Carvallo,Maria Martins,Undirected,1
Julia Codesido,Maria Martins,Undirected,1
Olga Costa,Maria Martins,Undirected,1
Nelida Demichelis,Maria Martins,Undirected,1
Raquel Forner,Maria Martins,Undirected,1
Maria Catalina Otero Lamas,Maria Martins,Undirected,1
Amelia Pelaez del Casal,Maria Martins,Undirected,3
Georgette Pinet,Maria Martins,Undirected,1
Aida Vaisman,Maria Martins,Undirected,1
Elizabeth Sparhawk-Jones,Maria Martins,Undirected,1
Mary Callery,Maria Martins,Undirected,1
Honore Sharrer,Maria Martins,Undirected,1
Germaine Richier,Maria Martins,Undirected,1
Nell Dorr,Maria Martins,Undirected,1
Jane Wilson,Maria Martins,Undirected,1
Gwen John,Maria Martins,Undirected,1
Helen Frankenthaler,Maria Martins,Undirected,1
Lee Bontecou,Maria Martins,Undirected,1
Sarai Sherman,Maria Martins,Undirected,1
Ruth Velissaratos,Maria Martins,Undirected,1
Chryssa,Maria Martins,Undirected,1
Gego (Gertrud Goldschmidt),Maria Martins,Undirected,2
Suzanne Hausammann,Maria Martins,Undirected,1
Sheila Hicks,Maria Martins,Undirected,1
Hortense B. Isenberg,Maria Martins,Undirected,1
Monika Von Boch,Maria Martins,Undirected,1
"Heidi Weber, Zurich",Maria Martins,Undirected,1
Noemi Gerstein,Maria Martins,Undirected,1
Kirsten Kraa,Maria Martins,Undirected,1
Alice Neel,Maria Martins,Undirected,1
Grazia Varisco,Maria Martins,Undirected,1
Helen Lundeberg,Emma Lu Davis,Undirected,1
Irene Rice Pereira,Emma Lu Davis,Undirected,1
Elizabeth Olds,Margaret Lowengrund,Undirected,1
Natalia Goncharova,Sophie Lissitsky,Undirected,1
Dorothea Lange,Helen Margaret Post,Undirected,1
Marion Post Wolcott,Helen Margaret Post,Undirected,1
Berenice Abbott,Marion Post Wolcott,Undirected,3
Margaret Bourke-White,Marion Post Wolcott,Undirected,3
Julia Margaret Cameron,Marion Post Wolcott,Undirected,3
Imogen Cunningham,Marion Post Wolcott,Undirected,2
Gertrude Kaseebier,Marion Post Wolcott,Undirected,2
Ylla,Marion Post Wolcott,Undirected,1
